ID,start_time,completion_time,profession_1,hobby_coding_2,employment_3,region_4,city_5,age_range_6,new_tool_7,survey_duration
163,2020-11-12T00:18:43Z,2020-11-12T00:24:55Z,I am a developer by profession,Yes,"Not employed, but looking for work",Greater Accra Region,"accra, Ghana",20 - 25,Once every few years,372
164,2020-11-12T06:55:29Z,2020-11-12T07:26:11Z,I am a developer by profession,Yes,"Not employed, but looking for work",Greater Accra Region,"tema, Ghana",26 - 30,Once a year,1842
165,2020-11-12T07:24:27Z,2020-11-12T07:41:49Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"awoshie, Ghana",20 - 25,Every few months,1042
166,2020-11-12T08:06:28Z,2020-11-12T08:17:23Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,655
167,2020-11-12T19:47:26Z,2020-11-12T19:59:23Z,I am a student who is learning to code,Yes,Student,"Central Region, Ghana","Cape coast, Ghana",Below 20,,717
168,2020-11-13T12:34:00Z,2020-11-13T13:35:53Z,I am a student who is learning to code,No,Student,Greater Accra Region,"accra, Ghana",20 - 25,,3713
169,2020-11-13T13:30:51Z,2020-11-13T15:11:31Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",31 - 35,Every few months,6040
170,2020-11-14T11:41:06Z,2020-11-14T12:13:48Z,I am a developer by profession,Yes,"Not employed, but looking for work",Greater Accra Region,"accra, Ghana",31 - 35,Every few months,1962
171,2020-11-15T08:59:51Z,2020-11-15T09:17:41Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Employed full-time,"Northern Region, Ghana","Tamale, Ghana",26 - 30,Every few months,1070
172,2020-11-16T04:45:01Z,2020-11-16T04:55:42Z,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",36 - 40,Once every few years,641
173,2020-11-17T09:48:58Z,2020-11-17T10:12:33Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",31 - 35,,1415
174,2020-11-17T10:07:19Z,2020-11-17T10:18:40Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"Ashaley Botwe, Ghana",26 - 30,Once a year,681
175,2020-11-18T06:23:48Z,2020-11-18T06:43:48Z,I am a student who is learning to code,No,Student,Ahafo Region,"Kukuom, Ghana",36 - 40,,1200
176,2020-11-18T09:01:55Z,2020-11-18T09:07:16Z,I am a developer by profession,Yes,"Not employed, but looking for work",Greater Accra Region,"Ashiaman, Ghana",20 - 25,Once a year,321
177,2020-11-19T15:47:32Z,2020-11-19T16:09:29Z,I am a student who is learning to code,No,Student,"Central Region, Ghana","Winneba, Ghana",20 - 25,Every few months,1317
178,2020-11-20T10:40:18Z,2020-11-20T11:01:51Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"accra, Ghana",Below 20,Every few months,1293
179,2020-11-20T12:19:51Z,2020-11-20T12:31:45Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"mamprobi, Ghana",26 - 30,Every few months,714
180,2020-11-20T17:49:28Z,2020-11-20T18:07:35Z,I code primarily as a hobby,Yes,"Not employed, but looking for work",Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,1087
181,2020-11-20T17:59:55Z,2020-11-20T18:20:07Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"tema, Ghana",20 - 25,Every few months,1212
182,2020-11-20T18:35:18Z,2020-11-20T18:43:42Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,504
183,2020-11-20T18:51:41Z,2020-11-20T19:22:31Z,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"accra, Ghana",26 - 30,Every few months,1850
184,2020-11-20T19:53:33Z,2020-11-20T20:16:21Z,I am a developer by profession,Yes,Employed full-time,Ashanti Region,"Bomso, Ghana",20 - 25,Every few months,1368
185,2020-11-21T04:50:05Z,2020-11-21T04:53:05Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"La, Ghana",20 - 25,Every few months,180
186,2020-11-21T09:12:14Z,2020-11-21T09:20:20Z,I code primarily as a hobby,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"New Gbawe, Ghana",26 - 30,Every few months,486
187,2020-11-22T09:43:00Z,2020-11-22T09:52:47Z,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",26 - 30,Every few months,587
188,2020-11-30T15:09:30Z,2020-11-30T15:26:27Z,I am a developer by profession,Yes,Employed part-time,Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,1017
189,2020-11-30T15:55:42Z,2020-11-30T16:04:29Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,"Not employed, but looking for work",Ashanti Region,"Kumasi, Ghana",20 - 25,Once every few years,527
190,2020-11-30T15:56:01Z,2020-11-30T16:09:33Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"teshie, Ghana",20 - 25,This varies depending on work and projects,812
191,2020-11-30T16:16:31Z,2020-11-30T16:30:22Z,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,831
192,2020-11-30T16:27:11Z,2020-11-30T16:32:08Z,I am a student who is learning to code,Yes,Student,Upper West Region,"Wa, Ghana",20 - 25,This varies depending on work and projects,297
193,2020-11-30T16:57:35Z,2020-11-30T17:05:54Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"tema, Ghana",20 - 25,Once every few years,499
194,2020-11-30T17:32:33Z,2020-11-30T17:47:51Z,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Ashanti Region,"Dichemso, Ghana",20 - 25,Every few months,918
195,2020-11-30T17:22:42Z,2020-11-30T17:56:59Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"Achimota, Ghana",26 - 30,Once a year,2057
196,2020-11-30T17:10:31Z,2020-11-30T18:07:44Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Legon, Ghana",20 - 25,Every few months,3433
197,2020-11-30T18:40:59Z,2020-11-30T18:56:04Z,None of these,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",Above 45,,905
198,2020-11-30T19:31:54Z,2020-11-30T19:40:24Z,I am a developer by profession,Yes,Student,Greater Accra Region,"accra, Ghana",20 - 25,Once a year,510
199,2020-11-30T20:21:43Z,2020-11-30T20:35:08Z,I code primarily as a hobby,Yes,Employed full-time,Upper West Region,"Wa, Ghana",26 - 30,Once a year,805
200,2020-11-30T20:28:48Z,2020-11-30T20:50:33Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"Dansoman, Ghana",26 - 30,Once a year,1305
201,2020-11-30T19:38:12Z,2020-11-30T20:55:24Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Legon, Ghana",20 - 25,Every few months,4632
202,2020-11-30T21:48:48Z,2020-11-30T22:05:09Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Mallam, Ghana",20 - 25,Once a year,981
203,2020-12-01T04:12:41Z,2020-12-01T04:29:46Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Madina, Ghana",Below 20,Every few months,1025
204,2020-12-01T08:36:05Z,2020-12-01T08:51:11Z,I am a developer by profession,Yes,"Not employed, but looking for work",Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,906
205,2020-12-01T09:10:53Z,2020-12-01T09:18:11Z,I am a developer by profession,No,Employed full-time,Ashanti Region,"Kumasi, Ghana",26 - 30,Once every few years,438
206,2020-12-01T08:58:25Z,2020-12-01T09:39:56Z,"I used to be a developer by profession, but no longer am",Yes,Employed full-time,Greater Accra Region,"tema, Ghana",26 - 30,Once every few years,2491
207,2020-12-01T12:08:28Z,2020-12-01T12:17:58Z,I am a student who is learning to code,No,Student,Greater Accra Region,"adenta, Ghana",20 - 25,Once every few years,570
208,2020-12-01T15:29:07Z,2020-12-01T15:42:51Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"tema, Ghana",20 - 25,Once every few years,824
209,2020-12-01T23:41:42Z,2020-12-01T23:59:17Z,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",26 - 30,Once every few years,1055
210,2020-12-02T12:33:56Z,2020-12-02T12:38:55Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Ashiyie, Ghana",20 - 25,Every few months,299
211,2020-12-02T13:11:05Z,2020-12-02T13:27:03Z,I am a student who is learning to code,Yes,Student,Not in Ghana,"Rabat, Ghana",26 - 30,Every few months,958
212,2020-12-02T13:42:42Z,2020-12-02T13:58:10Z,I am a student who is learning to code,Yes,"Not employed, but looking for work",Ashanti Region,"Obuasi, Ghana",20 - 25,Every few months,928
213,2020-12-02T14:21:42Z,2020-12-02T14:33:22Z,I code primarily as a hobby,Yes,"Not employed, but looking for work",Greater Accra Region,"Dansoman, Ghana",26 - 30,Once a year,700
214,2020-12-02T20:58:02Z,2020-12-02T21:28:00Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Employed full-time,Ashanti Region,"Kumasi, Ghana",36 - 40,Once every few years,1798
215,2020-12-03T07:14:54Z,2020-12-03T07:35:30Z,I am a student who is learning to code,No,Student,"Central Region, Ghana","kasoa, Ghana",20 - 25,Every few months,1236
216,2020-12-03T12:11:13Z,2020-12-03T12:22:11Z,I code primarily as a hobby,Yes,"Not employed, but looking for work",Greater Accra Region,"ablekuma, Ghana",20 - 25,,658
217,2020-12-03T12:16:17Z,2020-12-03T12:33:54Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,"Not employed, but looking for work",Greater Accra Region,"Ashaley Botwe, Ghana",26 - 30,Once a year,1057
218,2020-12-03T12:30:01Z,2020-12-03T12:38:22Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"Old Weija, Ghana",20 - 25,Every few months,501
219,2020-12-03T12:27:04Z,2020-12-03T12:44:57Z,I am a developer by profession,Yes,Employed part-time,"Eastern Region, Ghana","Nkawkaw, Ghana",20 - 25,Once a year,1073
220,2020-12-03T12:50:18Z,2020-12-03T13:10:39Z,I am a developer by profession,No,National service,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,1221
221,2020-12-03T13:14:33Z,2020-12-03T14:03:20Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,2927
222,2020-12-03T14:54:33Z,2020-12-03T15:09:44Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Old Ningo, Ghana",20 - 25,Once a year,911
223,2020-12-03T12:25:09Z,2020-12-03T15:52:06Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Ada-Foah, Ghana",31 - 35,Every few months,12417
224,2020-12-03T21:22:42Z,2020-12-03T21:33:48Z,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"Amasaman, Ghana",20 - 25,Every few months,666
225,2020-12-03T21:40:04Z,2020-12-03T21:49:42Z,I am a student who is learning to code,Yes,Student,Ashanti Region,"Kumasi, Ghana",Below 20,Every few months,578
226,2020-12-04T13:36:33Z,2020-12-04T13:50:15Z,I am a student who is learning to code,Yes,Employed part-time,Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,822
227,2020-12-05T17:28:59Z,2020-12-05T17:36:11Z,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"adenta, Ghana",20 - 25,Every few months,432
228,2020-12-05T18:19:09Z,2020-12-05T18:34:22Z,I am a student who is learning to code,No,Student,"Eastern Region, Ghana","Somanya, Ghana",20 - 25,Every few months,913
229,2020-12-05T18:31:41Z,2020-12-05T18:41:39Z,I am a developer by profession,Yes,Employed part-time,Greater Accra Region,"accra, Ghana",20 - 25,This varies depending on work and projects,598
230,2020-12-05T18:11:46Z,2020-12-05T18:47:00Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Labadi, Ghana",26 - 30,Every few months,2114
231,2020-12-05T19:00:03Z,2020-12-05T19:15:29Z,I am a student who is learning to code,Yes,Student,Volta Region,"Akatsi, Ghana",20 - 25,Every few months,926
232,2020-12-05T19:33:57Z,2020-12-05T19:41:06Z,I am a developer by profession,Yes,Employed part-time,Greater Accra Region,"teshie, Ghana",20 - 25,Every few months,429
233,2020-12-05T19:13:01Z,2020-12-05T20:03:18Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Madina, Ghana",20 - 25,,3017
234,2020-12-05T20:08:00Z,2020-12-05T20:18:10Z,I am a student who is learning to code,Yes,Student,Ashanti Region,"Kumasi, Ghana",Below 20,Once a year,610
235,2020-12-05T22:47:34Z,2020-12-05T22:55:25Z,I am a student who is learning to code,No,Student,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,471
236,2020-12-05T22:52:11Z,2020-12-05T23:07:43Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Student,"Eastern Region, Ghana","Mampong, Ghana",20 - 25,Every few months,932
237,2020-12-06T04:56:56Z,2020-12-06T05:13:06Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"New Ningo, Ghana",Below 20,Every few months,970
238,2020-12-06T16:23:14Z,2020-12-06T16:36:57Z,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"tema, Ghana",20 - 25,Every few months,823
239,2020-12-06T18:16:03Z,2020-12-06T18:29:53Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"adenta, Ghana",31 - 35,Every few months,830
240,2020-12-06T18:50:16Z,2020-12-06T19:04:24Z,I am a student who is learning to code,No,Student,Greater Accra Region,"awoshie, Ghana",20 - 25,,848
241,2020-12-06T23:45:11Z,2020-12-06T23:54:06Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Gbawe, Ghana",Below 20,Every few months,535
242,2020-12-07T14:57:03Z,2020-12-07T15:06:24Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"accra, Ghana",Below 20,Every few months,561
243,2020-12-07T18:47:21Z,2020-12-07T18:58:43Z,I code primarily as a hobby,Yes,National service,Greater Accra Region,"kasoa, Ghana",20 - 25,Every few months,682
244,2020-12-07T20:18:28Z,2020-12-07T21:05:32Z,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed","Eastern Region, Ghana","Koforidua, Ghana",20 - 25,Every few months,2824
245,2020-12-08T01:34:19Z,2020-12-08T01:46:00Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Amanfrom, Ghana",Below 20,Every few months,701
246,2020-12-08T02:58:17Z,2020-12-08T03:16:41Z,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",20 - 25,Every few months,1104
247,2020-12-08T07:37:32Z,2020-12-08T07:49:55Z,I am a student who is learning to code,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",26 - 30,Every few months,743
248,2020-12-08T18:23:55Z,2020-12-08T18:31:41Z,I am a developer by profession,Yes,"Not employed, but looking for work","Western Region, Ghana","Tarkwa, Ghana",Below 20,Every few months,466
249,2020-12-08T19:11:06Z,2020-12-08T19:23:07Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"adenta, Ghana",20 - 25,Every few months,721
250,2020-12-08T20:38:07Z,2020-12-08T20:53:03Z,I am a developer by profession,Yes,Employed part-time,Greater Accra Region,"Kwabenya, Ghana",20 - 25,Every few months,896
251,2020-12-08T21:06:17Z,2020-12-08T21:33:50Z,I am a developer by profession,No,"Not employed, but looking for work","Eastern Region, Ghana","Koforidua, Ghana",20 - 25,Every few months,1653
252,2020-12-08T13:39:16Z,2020-12-08T22:27:46Z,I am a student who is learning to code,Yes,Employed part-time,Greater Accra Region,"tema, Ghana",20 - 25,Every few months,31710
253,2020-12-08T22:52:28Z,2020-12-08T23:27:25Z,"I used to be a developer by profession, but no longer am",Yes,Employed full-time,Greater Accra Region,"Legon, Ghana",26 - 30,Once a year,2097
254,2020-12-09T01:36:24Z,2020-12-09T01:55:20Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Aplaku New weija, Ghana",20 - 25,Every few months,1136
255,2020-12-09T10:02:52Z,2020-12-09T10:10:26Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"accra, Ghana",20 - 25,Once a year,454
256,2020-12-09T10:12:10Z,2020-12-09T10:20:06Z,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"adenta, Ghana",20 - 25,,476
257,2020-12-09T11:46:21Z,2020-12-09T12:10:11Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Employed part-time,Greater Accra Region,"Mallam, Ghana",20 - 25,Every few months,1430
258,2020-12-09T13:29:59Z,2020-12-09T13:59:22Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,1763
259,2020-12-09T19:06:40Z,2020-12-09T19:41:33Z,"I am not primarily a developer, but I write code sometimes as part of my work",No,"Not employed, but looking for work",Greater Accra Region,"Kwabenya, Ghana",26 - 30,Once a year,2093
260,2020-12-10T01:47:32Z,2020-12-10T02:04:14Z,I am a student who is learning to code,No,Student,Upper East Region,"Bolgatanga, Ghana",20 - 25,Once a year,1002
261,2020-12-10T05:21:08Z,2020-12-10T05:44:43Z,I am a developer by profession,Yes,Student,Greater Accra Region,"adenta, Ghana",20 - 25,,1415
262,2020-12-10T13:07:11Z,2020-12-10T13:15:18Z,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"ablekuma, Ghana",20 - 25,Once a year,487
263,2020-12-10T20:39:05Z,2020-12-10T20:52:54Z,I am a developer by profession,No,"Not employed, but looking for work",Greater Accra Region,"Sowutuom, Ghana",20 - 25,Every few months,829
264,2020-12-11T12:10:45Z,2020-12-11T12:27:52Z,None of these,No,Student,Greater Accra Region,"accra, Ghana",20 - 25,Once every few years,1027
265,2020-12-11T16:35:47Z,2020-12-11T16:40:45Z,I code primarily as a hobby,Yes,Employed part-time,Greater Accra Region,"accra, Ghana",26 - 30,Every few months,298
266,2020-12-11T17:09:09Z,2020-12-11T17:39:21Z,I am a student who is learning to code,No,"Not employed, but looking for work",Greater Accra Region,"accra, Ghana",20 - 25,Every few months,1812
267,2020-12-12T12:51:00Z,2020-12-12T13:02:25Z,I am a student who is learning to code,No,"Independent contractor, freelancer, or self-employed",Ashanti Region,"Kumasi, Ghana",31 - 35,Every few months,685
268,2020-12-12T10:55:28Z,2020-12-12T15:59:17Z,"I am not primarily a developer, but I write code sometimes as part of my work",No,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,18229
269,2020-12-12T19:52:50Z,2020-12-12T20:07:02Z,I am a student who is learning to code,Yes,Student,Ashanti Region,"Kumasi, Ghana",20 - 25,Once every few years,852
270,2020-12-12T22:38:52Z,2020-12-12T22:49:09Z,I am a developer by profession,Yes,Employed part-time,Volta Region,"Ho, Ghana",20 - 25,Once a year,617
271,2020-12-12T23:10:28Z,2020-12-12T23:33:02Z,I am a developer by profession,No,Employed full-time,Ashanti Region,"Kumasi, Ghana",26 - 30,Every few months,1354
272,2020-12-13T00:04:21Z,2020-12-13T00:08:41Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,260
273,2020-12-13T09:29:11Z,2020-12-13T09:45:01Z,I am a student who is learning to code,Yes,"Independent contractor, freelancer, or self-employed",Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,950
274,2020-12-13T12:38:39Z,2020-12-13T12:54:47Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"ablekuma, Ghana",20 - 25,Once every few years,968
275,2020-12-13T12:55:44Z,2020-12-13T13:18:15Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"ablekuma, Ghana",20 - 25,Once every few years,1351
276,2020-12-13T17:18:20Z,2020-12-13T17:29:23Z,I am a student who is learning to code,Yes,Student,"Eastern Region, Ghana","Akosombo, Ghana",20 - 25,Once a year,663
277,2020-12-13T21:22:06Z,2020-12-13T21:35:58Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Madina, Ghana",20 - 25,Every few months,832
