"","company_size_23","prim_opsyst_14","rather_opsyst_15","purch_influence_16","solution_research_17","highest_edu_18","prim_study_19","edu_importance_20","change_edu_21","job_satisfaction_22","other_technology_13","ID"
"148","1","Windows","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Fairly important","I woud have added something else to my studies","Neither satisfied nor dissatisfied",NA,153
"149","Below 100","MacOS","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Somewhat important","learn more independently","Slightly satisfied",NA,154
"150","Below 20","Windows","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly satisfied",NA,155
"151",NA,"Windows","Linux-based","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Very satisfied",NA,156
"152",NA,"MacOS","MacOS","I have a great deal of influence","Start a free trial;","Bachelor","Business","Somewhat important","Yes","Very satisfied",NA,157
"153",NA,"Linux-based","Linux-based","I have little or no influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;Start a free trial;",NA,NA,NA,NA,NA,NA,158
"154","Below 100","Windows","Windows","I have some influence","Start a free trial;","Bachelor","Information_Technology","Very important","Nothing","Slightly dissatisfied","Python",159
"155","Below 100","Windows","Linux-based","I have a great deal of influence","Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,"Very dissatisfied","Golang",160
"156","Below 100","MacOS","MacOS","I have a great deal of influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Bachelor","Information_Technology","Very important",NA,"Slightly dissatisfied","Lua",161
"157","Below 100","MacOS","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Information_Technology","Very important",NA,"Very satisfied",NA,162
"158","Below 100","MacOS","MacOS","I have some influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","More Focus on Mathematics","Slightly dissatisfied",NA,163
"159","1","Linux-based","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Information_Technology","Very important",NA,"Neither satisfied nor dissatisfied",NA,164
"160","Below 100","Windows","Linux-based","I have some influence","Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;",NA,NA,NA,NA,"Slightly satisfied",NA,165
"161","Below 100","Windows","MacOS","I have some influence","Start a free trial;","Master","Computer_Science_Engineering","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,166
"162","1","Windows","Linux-based","I have some influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Basic_Education","General_Science","Very important","Nothing","Neither satisfied nor dissatisfied","Golang - next year",167
"163",NA,"Windows","Linux-based",NA,NA,"Secondary_High_School",NA,NA,NA,NA,NA,168
"164","Below 100","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;","Bachelor","Web_Development_Web_Design","Fairly important",NA,"Very satisfied",NA,169
"165","Over 500","Linux-based","MacOS","I have little or no influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Critically important","Nothing","Slightly dissatisfied","Golang - next year, AWS - next year, Google Cloud Platform - next year, Android - next year",170
"166","Below 100","Windows","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Business","Very important","I would study Computer Science","Very satisfied",NA,171
"167","1","Windows","MacOS","I have a great deal of influence","Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly satisfied",NA,172
"168","Below 100","Windows","Linux-based","I have little or no influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Somewhat important","Yes","Slightly satisfied",NA,173
"169","Below 10","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,NA,NA,174
"170",NA,"Windows","Windows","I have some influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;",NA,NA,NA,NA,NA,"JavaScript, Python",175
"171",NA,"Windows","MacOS",NA,"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important",NA,NA,NA,176
"172","1","Windows","Windows","I have little or no influence","Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Not at all important/not necessary","I woud not go to university","Slightly satisfied",NA,177
"173",NA,"Windows","Linux-based","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Secondary_High_School","Electrical_Engineering","Fairly important","learn programming earlier","Slightly satisfied","JavaScript - next year",178
"174","Over 100","MacOS","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;I contact solutions support staff ;","Bachelor","Information_Technology","Somewhat important","Master degree","Very dissatisfied","Lua - both",179
"175",NA,"Windows","Windows","I have little or no influence",NA,"Bachelor","Computer_Science_Engineering","Very important",NA,NA,NA,180
"176","Over 100","Linux-based","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Fairly important","learn more independently","Slightly satisfied",NA,181
"177","Below 20","Windows","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Secondary_High_School","Computer_Science_Engineering","Very important","Nothing","Neither satisfied nor dissatisfied",NA,182
"178","1","MacOS","MacOS","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Bachelor","Computer_Science_Engineering","Somewhat important","Nothing","Very dissatisfied",NA,183
"179","Below 20","MacOS","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;Start a free trial;","Bachelor","Computer_Science_Engineering","Very important",NA,"Very satisfied",NA,184
"180",NA,"Windows","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Very satisfied",NA,185
"181","1","Windows","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Bachelor","Business","Very important","I would study Computer Science","Neither satisfied nor dissatisfied",NA,186
"182","Below 10","MacOS","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Start a free trial;Ask developers I know/work with;","Bachelor","Agricultural_Science","Not at all important/not necessary","Nothing","Very satisfied",NA,187
"183","Below 10","Windows","Windows","I have a great deal of influence","Ask developers I know/work with;Start a free trial;","Bachelor","Computer_Science_Engineering","Critically important","How the courses are taught","Slightly dissatisfied",NA,188
"184","Below 10","Linux-based","MacOS","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Neither satisfied nor dissatisfied",NA,189
"185","Below 100","Windows","Linux-based","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","Approach to learning","Very satisfied","Node.js - next year",190
"186","1","Linux-based","Linux-based","I have little or no influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;Start a free trial;","Bachelor","Computer_Science_Engineering","Fairly important","Curriculum","Slightly satisfied",NA,191
"187","NA","Windows","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;","Secondary_High_School","General_Science","Fairly important",NA,NA,NA,192
"188","Below 100","MacOS","MacOS","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Critically important","more practical work","Slightly dissatisfied",NA,193
"189","1","Windows","MacOS","I have some influence","Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Critically important","How I learned programming","Very satisfied","Python - this year",194
"190","Below 10","Windows","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly satisfied","Unity - both, Python - next year",195
"191","1","Windows","MacOS",NA,"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Other_Engineering","Very important","I will change the course I chose.","Very dissatisfied",NA,196
"192","Below 10","Windows",NA,"I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Business","Not at all important/not necessary","My Education","Very satisfied",NA,197
"193","1","Linux-based","Linux-based","I have some influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;Start a free trial;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly satisfied","FastAPI",198
"194","Below 10","Windows","Linux-based","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Information_Technology","Not at all important/not necessary","More Focus on Mathematics","Neither satisfied nor dissatisfied",NA,199
"195","Below 100","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important",NA,"Slightly dissatisfied",NA,200
"196","Below 100","Windows","Linux-based","I have a great deal of influence","Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Information_Technology","Fairly important","Master degree","Slightly satisfied",NA,201
"197","Below 10","Windows","MacOS","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Other_Engineering","Not at all important/not necessary","Nothing","Slightly satisfied",NA,202
"198",NA,"Windows","Windows","I have some influence","Start a free trial;Ask developers I know/work with;","Secondary_High_School","Information_Technology","Very important","My choice of course in high school because i was a visual arts student",NA,NA,203
"199",NA,"Windows","MacOS","I have a great deal of influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Higher_National_Diploma","Computer_Science_Engineering","Very important",NA,NA,NA,204
"200","Below 100","Windows","Windows","I have a great deal of influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Slightly dissatisfied",NA,205
"201","Below 100","MacOS","MacOS","I have some influence","Start a free trial;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Somewhat important","Nothing","Very satisfied",NA,206
"202",NA,"Windows","MacOS","I have some influence","Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Very important",NA,NA,NA,207
"203","Below 100","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Very important",NA,"Very satisfied",NA,208
"204","Below 100","Windows","Linux-based","I have a great deal of influence","Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Fairly important",NA,NA,"Asana - both",209
"205","Below 10","MacOS","MacOS","I have little or no influence","Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Not at all important/not necessary",NA,"Slightly satisfied",NA,210
"206",NA,"MacOS","MacOS","I have little or no influence","Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important","learn more independently",NA,NA,211
"207","Below 20","MacOS","MacOS","I have some influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Secondary_High_School","Information_Technology","Very important",NA,"Very satisfied",NA,212
"208","Below 100","Windows","Linux-based",NA,NA,"Bachelor","Computer_Science_Engineering","Fairly important",NA,"Very dissatisfied",NA,213
"209","Over 100","Windows","Windows","I have a great deal of influence","Start a free trial;","Professional_Diploma","Architecture","Not at all important/not necessary",NA,"Slightly satisfied",NA,214
"210",NA,"Windows","Linux-based",NA,NA,"Secondary_High_School","Computer_Science_Engineering","Very important",NA,NA,NA,215
"211",NA,"Windows","MacOS",NA,"Start a free trial;Ask developers I know/work with;","Bachelor","Physics","Fairly important",NA,NA,"Python - this year",216
"212","Below 100","Windows","Windows","I have little or no influence","Visit developer communities like Stack Overflow;Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important","more practical work","Slightly dissatisfied",NA,217
"213","Below 100","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Master","Mathematics_Statistics","Fairly important","More Focus on Mathematics","Very satisfied","Golang - both, Ocaml - both, Blockchain - both",218
"214","Below 100","Windows","Windows","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Information_Technology","Critically important",NA,"Very satisfied",NA,219
"215","Over 500","Windows","Linux-based","I have some influence","Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Higher_National_Diploma","Computer_Science_Engineering","Very important","Nothing","Slightly satisfied",NA,220
"216","Below 100","Windows","Linux-based","I have little or no influence","Start a free trial;","Bachelor","Information_Technology","Very important","Yes","Very satisfied","Scala - both, Golang - next year",221
"217","1","Windows","Windows","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Computer_Science_Engineering","Critically important","In the university at the moment","Slightly satisfied",NA,222
"218",NA,"MacOS","MacOS","I have little or no influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Information_Technology","Fairly important","I would study Computer Science","Slightly satisfied","Flask - both",223
"219","Below 20","Windows","MacOS","I have some influence","YouTube ;","Bachelor","Computer_Science_Engineering","Somewhat important","change my school","Slightly dissatisfied",NA,224
"220",NA,"Windows","Windows","I have little or no influence","Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","General_Science","Fairly important",NA,NA,NA,225
"221","Below 10","Windows","MacOS","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Professional_Diploma","Health_Science","Fairly important",NA,NA,NA,226
"222","Below 20","Windows","MacOS","I have some influence","Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Slightly dissatisfied",NA,227
"223",NA,"Windows","Windows","I have little or no influence","Start a free trial;","Secondary_High_School","Other_Engineering","Critically important",NA,NA,"MATLAB - both",228
"224","Below 10","Linux-based","MacOS","I have some influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Very satisfied",NA,229
"225","Below 20","Windows","MacOS","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important","Master degree","Slightly satisfied","Golang - next year",230
"226","Below 10","Windows","MacOS","I have little or no influence","Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Computer_Science_Engineering","Critically important",NA,"Slightly dissatisfied",NA,231
"227","1","Windows","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,232
"228","Below 100","Windows","Linux-based","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Neither satisfied nor dissatisfied","JavaScript - both, Java - both, Kotlin - both, Python - both",233
"229","1","Windows","Windows","I have little or no influence","Visit developer communities like Stack Overflow;Start a free trial;","Secondary_High_School","General_Science","Critically important","More Focus on Mathematics","Very dissatisfied",NA,234
"230",NA,"Windows","Windows","I have a great deal of influence","Ask developers I know/work with;Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Fairly important",NA,NA,"XD - this year",235
"231",NA,"Windows","Linux-based","I have little or no influence","Ask developers I know/work with;Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Fairly important",NA,NA,NA,236
"232","1","Windows","Linux-based","I have a great deal of influence","Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;",NA,NA,NA,NA,"Neither satisfied nor dissatisfied","Flask - both",237
"233","1","Windows","Windows","I have a great deal of influence","Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Business","Fairly important",NA,NA,NA,238
"234","Below 100","MacOS","MacOS","I have some influence","Visit developer communities like Stack Overflow;","Bachelor","Social_Science","Somewhat important","more practical work","Very dissatisfied",NA,239
"235",NA,"Windows","Linux-based",NA,"Start a free trial;Ask developers I know/work with;","Bachelor","Information_Technology","Very important","The business course in secondary school",NA,NA,240
"236",NA,"Windows","MacOS","I have some influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Very important",NA,NA,NA,241
"237","1","Windows","MacOS","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Web_Development_Web_Design","Very important",NA,NA,NA,242
"238","Below 100","Linux-based","Linux-based","I have little or no influence","Visit developer communities like Stack Overflow;","Bachelor","Health_Science","Very important","Yes","Neither satisfied nor dissatisfied",NA,243
"239","Below 10","Windows","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;YouTube Videos;","Higher_National_Diploma","Computer_Science_Engineering","Not at all important/not necessary","Nothing","Very satisfied",NA,244
"240","Below 10","Windows","Linux-based","I have a great deal of influence","Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Web_Development_Web_Design","Very important","Nothing","Slightly satisfied",NA,245
"241","Over 100","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Very satisfied","Golang",246
"242","1","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Bachelor","Agricultural_Science","Very important","I woud have added something else to my studies","Neither satisfied nor dissatisfied",NA,247
"243","1","Linux-based","Linux-based","I have some influence","Visit developer communities like Stack Overflow;","Secondary_High_School","Computer_Science_Engineering","Not at all important/not necessary","I woud not go to university","Slightly satisfied",NA,248
"244","Below 100","Windows","MacOS","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Very satisfied",NA,249
"245","Below 10","Windows","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Slightly dissatisfied",NA,250
"246","Below 100","Windows","Windows","I have little or no influence","Start a free trial;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Neither satisfied nor dissatisfied",NA,251
"247","Below 10","Windows","MacOS","I have little or no influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Mathematics_Statistics","Very important",NA,"Neither satisfied nor dissatisfied",NA,252
"248","Below 100","Windows","Windows","I have little or no influence","Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Slightly satisfied",NA,253
"249",NA,"Linux-based","Linux-based","I have little or no influence","Start a free trial;","Secondary_High_School","Computer_Science_Engineering",NA,NA,NA,NA,254
"250","NA","Windows","Linux-based","I have little or no influence","Ask developers I know/work with;","Bachelor","Other_Engineering","Very important",NA,"Very satisfied",NA,255
"251","1","Windows","Linux-based","I have some influence","Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Very dissatisfied",NA,256
"252","Below 100","Windows","Windows","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important","I'd probably have studied general arts in senior high, then turned the Computer Science department ict labs into my playground in University.","Very dissatisfied",NA,257
"253","Below 100","Windows","MacOS","I have little or no influence","Start a free trial;","College","Web_Development_Web_Design","Fairly important","Nothing","Neither satisfied nor dissatisfied",NA,258
"254",NA,"Windows","MacOS",NA,"Visit developer communities like Stack Overflow;Start a free trial;Ask developers I know/work with;","Higher_National_Diploma","Graphic_Design","Fairly important",NA,NA,NA,259
"255","NA","Windows","MacOS","I have little or no influence","Ask developers I know/work with;Start a free trial;","Bachelor","Web_Development_Web_Design","Somewhat important","learn more independently","Neither satisfied nor dissatisfied",NA,260
"256","NA","Windows","MacOS","I have a great deal of influence","Start a free trial;","Secondary_High_School","Computer_Science_Engineering","Critically important","More Focus on Mathematics","Slightly dissatisfied","Python - this year, Solidity - this year, JavaScript - next year",261
"257","1","Windows","Windows","I have little or no influence","Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Very satisfied",NA,262
"258","Below 100","Windows","Windows","I have little or no influence","Start a free trial;","Bachelor","Information_Technology","Fairly important","I would study Computer Science","Slightly dissatisfied",NA,263
"259","Below 100","Windows","Windows","I have little or no influence","Ask developers I know/work with;","Secondary_High_School","Health_Science","Critically important","Yes","Neither satisfied nor dissatisfied","JavaScript",264
"260",NA,"Windows","Windows","I have a great deal of influence","Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Business","Critically important",NA,NA,NA,265
"261","Below 100","Windows","Windows","I have some influence","Start a free trial;","Higher_National_Diploma","Computer_Science_Engineering","Critically important","The non practical aspects of studies","Slightly satisfied",NA,266
"262","1","Windows","Windows",NA,"Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;","Bachelor","Social_Science","Not at all important/not necessary",NA,NA,NA,267
"263","Below 20","Windows","Windows","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Critically important",NA,"Slightly satisfied",NA,268
"264","NA","Windows","MacOS","I have little or no influence","Start a free trial;","Bachelor","Mathematics_Statistics","Very important",NA,NA,NA,269
"265","Below 10","Windows","MacOS","I have little or no influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Bachelor","Information_Technology","Not at all important/not necessary",NA,"Slightly dissatisfied",NA,270
"266","Below 20","Windows","MacOS","I have little or no influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","Yes","Neither satisfied nor dissatisfied","Firebase - both",271
"267","Below 20","Linux-based","Linux-based","I have a great deal of influence","Start a free trial;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Neither satisfied nor dissatisfied",NA,272
"268","1","Windows","Windows","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Physics","Fairly important","I would study Computer Science","Slightly satisfied",NA,273
"269",NA,"Windows","Windows","I have little or no influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Computer_Science_Engineering","Fairly important","Nothing",NA,NA,274
"270","1","Windows","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School","Other_Engineering","Fairly important",NA,NA,NA,275
"271","NA","Windows","Windows","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Electrical_Engineering","Not at all important/not necessary","I would study Computer Science","Slightly dissatisfied",NA,276
"272","Below 100","Windows","Linux-based","I have little or no influence","Ask developers I know/work with;Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Somewhat important",NA,"Neither satisfied nor dissatisfied",NA,277
