ID,age_optional_34,gender_35,transgender_36,sexual_orientation_37,ethnicity_38,disabilitys_39,mental_illness_40,dependents_41,survey_length_42,survey_difficulty_43,final_thoughts_44
236,20,Woman,,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
237,19,Man,,,Black or of African descent,None of the above;,None of the above;,No,,,
238,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
239,32,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
240,,Man,No,,Black or of African descent,,,,Appropriate in length,Neither easy nor difficult,It was a great survey .....Hope my answers would be of immense help
241,19,Woman,No,,Black or of African descent,,,No,Appropriate in length,Neither easy nor difficult,
242,19,Man,,,,,,,Appropriate in length,Easy,
243,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
244,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,"Yo, we good [;>)"
245,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,Great survey
246,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
247,29,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have an anxiety disorder;,Yes,Appropriate in length,Neither easy nor difficult,Make me the winner. I only took because of the cash prize
248,19,Man,No,Prefer not to say,Black or of African descent,I am blind / have difficulty seeing;,None of the above;,No,Appropriate in length,Easy,
249,22,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
250,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
251,,,,,,,,,Too long,Neither easy nor difficult,
252,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
253,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
254,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Difficult,Thank you for this survey
255,20,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
256,23,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
257,22,Woman,,,Black or of African descent,,,Yes,Too long,Neither easy nor difficult,I think this survey was good
258,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,Not really.
259,29,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Neither easy nor difficult,I am a professional Graphic Designer and a beginner in web development. I am looking for an opportunity to work as an intern.
260,21,Woman,No,Straight / Heterosexual,Black or of African descent,I prefer not to answer;,None of the above;,No,Too long,Easy,Thank you
261,23,Man,No,,Black or of African descent,,,,Too long,Neither easy nor difficult,Nice Survey
262,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have an anxiety disorder;,Yes,Appropriate in length,Neither easy nor difficult,
263,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
264,20,Man,No,,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,Enjoyed it. Open to learn and join your team. Thank you
265,,Man,No,,Black or of African descent,,,,Too long,,
266,21,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);",No,Appropriate in length,Neither easy nor difficult,
267,,Man,,Straight / Heterosexual,,,,,Appropriate in length,Easy,
268,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,I will be glad if recommendations based on the reviews can be shared to help improve the developer community in Ghana
269,24,Man,No,,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
270,,Man,,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
271,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
272,,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Appropriate in length,Neither easy nor difficult,
273,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
274,21,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,Survey was moderate. But some people say you can't learn multiple programming languages but I personally think it's possible and necessary. That is my debate often with my colleagues in class.
275,21,Man,No,Prefer not to say,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,
276,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
277,22,Man,No,Straight / Heterosexual,Black or of African descent,I am unable to / find it difficult to walk or stand without assistance;,,Yes,Appropriate in length,Easy,
