ID,start_time,completion_time,survey_duration,profession_1,hobby_coding_2,employment_3,region_4,city_5,age_range_6,new_tool_7,prim_opsyst_14,rather_opsyst_15,purch_influence_16,solution_research_17,highest_edu_18,prim_study_19,edu_importance_20,change_edu_21,job_satisfaction_22,company_size_23,weekly_work_hours_24,overtime_work_25,company_onboarding_process_26,improve_onboarding_27,monthly_salary_28,job_status_29,drivers_for_new_jobs_30,how_learn_about_company_31,dev_community_member_32,which_dev_community_33,age_optional_34,gender_35,transgender_36,sexual_orientation_37,ethnicity_38,disabilitys_39,mental_illness_40,dependents_41,survey_length_42,survey_difficulty_43,final_thoughts_44
59,2020-10-16T20:27:43Z,2020-10-16T20:46:48Z,1145,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,Linux-based,Linux-based,I have some influence,Start a free trial;,Bachelor,Information_Technology,Fairly important,The program of study. I would probably take a computer science course,Slightly satisfied,Below 10,30,Frequently: 3 or more days per week,No,Proper documentation of infrastructure,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;",Yes,Facebook Developer Circle;DevCongress,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);",Yes,Too long,Easy,
60,2020-10-16T20:42:56Z,2020-10-16T20:55:55Z,779,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Ghana, Ghana",31 - 35,Every few months,Windows,Windows,I have some influence,Start a free trial;,Bachelor,Health_Science,Fairly important,Nothing,Slightly satisfied,Below 20,40,Occasionally: 1-2 days per quarter but less than monthly,Yes,,"GHS 6,000 - GHS 8,000","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;Wanting to improve your skills;,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read company media, such as employees blogs or company culture videos;",Yes,,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
61,2020-10-16T20:46:34Z,2020-10-16T20:57:48Z,674,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",20 - 25,Once every few years,MacOS,MacOS,I have a great deal of influence,Visit developer communities like Stack Overflow;Start a free trial;,Bachelor,Computer_Science_Engineering,Very important,Nothing,Very satisfied,Over 100,60,Often: 1-2 days per week,Yes,Set the expectations on the role earlier,"GHS 15,000 - GHS 20,000","I'm not actively looking, but I am open to new opportunities",Wanting to work with new technologies;Wanting to improve your skills;,Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);,Yes,DevCongress,,Woman,No,Prefer not to say,Black or of African descent,,,Yes,Too long,Easy,"I have a question, will the community have access to the results/report of this survey?"
62,2020-10-16T11:28:15Z,2020-10-16T21:03:01Z,34486,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"New Weija, Ghana",20 - 25,Once a year,MacOS,MacOS,I have a great deal of influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;,Bachelor,Computer_Science_Engineering,Not at all important/not necessary,Nothing,Very satisfied,Below 100,45,Often: 1-2 days per week,Yes,It's great. Nothing comes to mind,"GHS 5,000 - GHS 6,000","I'm not actively looking, but I am open to new opportunities",Better compensation;Looking to relocate;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,Laravel Developers Ghana;Hacklab Foundation,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,I'd like to move to a country outside africa. Hihi
63,2020-10-16T19:30:53Z,2020-10-16T21:05:43Z,5690,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"Spintex, Ghana",20 - 25,Once a year,Windows,Linux-based,I have some influence,Start a free trial;,,,,learn programming earlier,Very satisfied,Below 100,40,Frequently: 3 or more days per week,Yes,,"GHS 3,500 - GHS 4,000","I'm not actively looking, but I am open to new opportunities",Better compensation;Better work/life balance;Wanting to improve your skills;Wanting to work with new technologies;Curious about other opportunities;,"Publicly available financial information (e.g. Crunchbase);Read company media, such as employees blogs or company culture videos;",No,,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
64,2020-10-16T21:07:05Z,2020-10-16T21:25:49Z,1124,I am a student who is learning to code,No,"Not employed, but looking for work",Greater Accra Region,"Sowutuom, Ghana",31 - 35,,,,I have little or no influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;,,,,,,,,Frequently: 3 or more days per week,,,,I am actively looking for a job,Wanting to share accomplishments with a wider network;,"Read company media, such as employees blogs or company culture videos;",No,,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
65,2020-10-16T21:42:36Z,2020-10-16T21:49:46Z,430,I code primarily as a hobby,Yes,Employed full-time,"Northern Region, Ghana","Tamale, Ghana",20 - 25,,Windows,Windows,I have little or no influence,Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,,,,,Slightly satisfied,1,,Rarely: 1-2 days per year or less,,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Better compensation;Curious about other opportunities;Wanting to share accomplishments with a wider network;Wanting to work with new technologies;Wanting to improve your skills;,,No,,,Man,,,,,,Yes,Too long,Easy,
66,2020-10-16T19:58:06Z,2020-10-16T22:00:19Z,7333,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"tema, Ghana",26 - 30,Every few months,Windows,Linux-based,I have some influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Computer_Science_Engineering,Fairly important,I woud not go to university,Slightly dissatisfied,Over 100,100,Frequently: 3 or more days per week,No,"Slower rollout. Everything happens too fast, so it doesn't stick","GHS 5,000 - GHS 6,000","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);",No,,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,Yes,Too long,Difficult,
67,2020-10-16T21:58:58Z,2020-10-16T22:08:44Z,586,"I am not primarily a developer, but I write code sometimes as part of my work",No,Employed full-time,"Central Region, Ghana","kasoa, Ghana",26 - 30,Once a year,Windows,MacOS,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Computer_Science_Engineering,Very important,Nothing,Very satisfied,Over 500,37,Sometimes: 1-2 days per month but less than weekly,Yes,,"GHS 5,000 - GHS 6,000","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;Looking to relocate;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",No,,,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
68,2020-10-16T22:51:28Z,2020-10-16T23:17:19Z,1551,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"adenta, Ghana",26 - 30,,Windows,Windows,I have little or no influence,Start a free trial;,Bachelor,Computer_Science_Engineering,Very important,Nothing,Slightly dissatisfied,Below 100,75,Frequently: 3 or more days per week,Yes,Pair a new developer with developer skilled in his art within the organization and is willing to help,"GHS 2,500 - GHS 3,000",I am actively looking for a job,Curious about other opportunities;Better compensation;Better work/life balance;I have a self motivated personality;,"Read company media, such as employees blogs or company culture videos;",Yes,Stack Overflow;IIPGH dev community;company slack community,,Man,No,None,Black or of African descent,None of the above;,None of the above;,Yes,,,
69,2020-10-17T00:00:26Z,2020-10-17T00:22:25Z,1319,"I am not primarily a developer, but I write code sometimes as part of my work",No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"tema, Ghana",20 - 25,Once a year,Windows,Windows,I have a great deal of influence,Start a free trial;Ask developers I know/work with;,Bachelor,Social_Science,Critically important,Nothing,Slightly satisfied,1,30,Occasionally: 1-2 days per quarter but less than monthly,Yes,,"Less than GHS 1,500",I am actively looking for a job,Curious about other opportunities;Better work/life balance;Wanting to improve your skills;Better compensation;Wanting to share accomplishments with a wider network;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);",No,,,Man,No,Prefer not to say,Black or of African descent,,,Yes,Appropriate in length,Neither easy nor difficult,
70,2020-10-17T01:07:00Z,2020-10-17T01:21:36Z,876,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,Employed full-time,Greater Accra Region,"Cantonment, Ghana",36 - 40,Once a year,Windows,Windows,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Mathematics_Statistics,Critically important,Nothing,Very satisfied,Below 10,40,Rarely: 1-2 days per year or less,No,More innovation and creativity,"GHS 4,000 - GHS 5,000",I am not interested in new job oportunities,Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;",Yes,GDC,39,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,"Well designed questions, long though"
71,2020-10-17T06:50:31Z,2020-10-17T07:12:47Z,1336,I am a student who is learning to code,Yes,"Not employed, but looking for work",Volta Region,"Ho, Ghana",20 - 25,Once every few years,Windows,Windows,I have little or no influence,Start a free trial;,Bachelor,Health_Science,Fairly important,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",,,Yes,PyLadies Ghana,21,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
72,2020-10-17T08:32:57Z,2020-10-17T08:47:35Z,878,I am a student who is learning to code,Yes,Student,Bono East Region,"Kintampo, Ghana",20 - 25,Every few months,Windows,Windows,I have little or no influence,Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;,Bachelor,Computer_Science_Engineering,Fairly important,Nothing,Neither satisfied nor dissatisfied,Below 10,40,Often: 1-2 days per week,No,No idea,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Wanting to improve your skills;Wanting to work with new technologies;,Personal network - friends or family;,Yes,Program-X,21,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,I love programming
73,2020-10-17T09:50:22Z,2020-10-17T09:52:02Z,100,I am a developer by profession,No,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,,MacOS,Linux-based,I have some influence,Start a free trial;,Bachelor,Computer_Science_Engineering,Fairly important,Nothing,Slightly satisfied,Over 500,40,Occasionally: 1-2 days per quarter but less than monthly,Yes,More coding workshops,"GHS 4,000 - GHS 5,000","I'm not actively looking, but I am open to new opportunities",Wanting to share accomplishments with a wider network;Curious about other opportunities;Trouble with leadership at my company;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,Google Developer Group,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,Interessing survey tho
74,2020-10-17T09:52:53Z,2020-10-17T10:09:12Z,979,I am a developer by profession,Yes,"Not employed, but looking for work","Northern Region, Ghana","Tamale, Ghana",26 - 30,Every few months,Linux-based,MacOS,I have a great deal of influence,Visit developer communities like Stack Overflow;Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Computer_Science_Engineering,Critically important,,Slightly satisfied,1,20,Often: 1-2 days per week,Yes,,"Less than GHS 1,500",I am actively looking for a job,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",Yes,Python Ghana,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,Yes,Appropriate in length,Neither easy nor difficult,
75,2020-10-17T16:57:33Z,2020-10-17T17:06:50Z,557,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,Windows,Linux-based,I have little or no influence,Start a free trial;,Master,Computer_Science_Engineering,Fairly important,,Neither satisfied nor dissatisfied,Below 100,50,Sometimes: 1-2 days per month but less than weekly,No,,"GHS 3,500 - GHS 4,000","I'm not actively looking, but I am open to new opportunities",Trouble with leadership at my company;Better work/life balance;Wanting to improve your skills;,,No,,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
76,2020-10-17T19:38:14Z,2020-10-17T19:57:32Z,1158,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"New Aplaku, Ghana",20 - 25,Once every few years,Linux-based,Windows,I have little or no influence,Start a free trial;Ask developers I know/work with;,Bachelor,Computer_Science_Engineering,Very important,,Very satisfied,Over 100,45,Often: 1-2 days per week,Yes,Training in specific fields should be better encouraged,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);",Yes,Python Ghana,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,Glad I took this survey
77,2020-10-18T15:04:30Z,2020-10-18T15:11:12Z,402,I code primarily as a hobby,Yes,Employed full-time,Greater Accra Region,"tema, Ghana",20 - 25,,MacOS,MacOS,I have little or no influence,Start a free trial;Ask developers I know/work with;,Bachelor,Information_Technology,Fairly important,more practical work,Slightly satisfied,Over 500,47,Frequently: 3 or more days per week,Yes,,"GHS 2,500 - GHS 3,000","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;",No,,23,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,I prefer not to answer;,No,Too long,Easy,
78,2020-10-18T16:28:20Z,2020-10-18T16:43:30Z,910,I code primarily as a hobby,Yes,Employed full-time,"Central Region, Ghana","Winneba, Ghana",26 - 30,Once every few years,Windows,Linux-based,I have little or no influence,Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;,Bachelor,Information_Technology,Fairly important,,Slightly dissatisfied,Over 100,40,Often: 1-2 days per week,No,Orientation for new employees,"GHS 1,500 - GHS 2,000",I am actively looking for a job,Wanting to improve your skills;Curious about other opportunities;Wanting to work with new technologies;Wanting to share accomplishments with a wider network;,"Read company media, such as employees blogs or company culture videos;",Yes,,28,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
79,2020-10-18T21:53:30Z,2020-10-18T22:03:37Z,607,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"adenta, Ghana",20 - 25,,Windows,MacOS,I have a great deal of influence,Start a free trial;,Bachelor,Computer_Science_Engineering,Fairly important,Business or graphic design,Neither satisfied nor dissatisfied,Below 10,56,Often: 1-2 days per week,Yes,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);",No,,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,I prefer not to say,Appropriate in length,Easy,
80,2020-10-19T02:27:38Z,2020-10-19T02:49:56Z,1338,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"Gbawe, Ghana",20 - 25,Every few months,Windows,Windows,I have a great deal of influence,Ask developers I know/work with;Start a free trial;,Secondary_High_School,Computer_Science_Engineering,Fairly important,My tertiary institution,Neither satisfied nor dissatisfied,1,98,Often: 1-2 days per week,Yes,Structured Onboarding program,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Wanting to work with new technologies;Wanting to improve your skills;Better work/life balance;Better compensation;,"Read company media, such as employees blogs or company culture videos;",Yes,Facebook Developer Circle;Google Developer Group;CodeTrain;AVS devs;CWT;BSG,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,Good survey. Will be happy to view and analyze responses.
81,2020-10-19T07:08:38Z,2020-10-19T07:19:44Z,666,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,Windows,Linux-based,I have some influence,Start a free trial;,Bachelor,Computer_Science_Engineering,Somewhat important,,Very satisfied,Below 10,32,Sometimes: 1-2 days per month but less than weekly,Yes,,"GHS 1,500 - GHS 2,000","I'm not actively looking, but I am open to new opportunities",Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;",Yes,DevCongress;Python Ghana,,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Too long,Neither easy nor difficult,
82,2020-10-19T08:30:43Z,2020-10-19T08:42:14Z,691,I am a developer by profession,No,Employed full-time,"Northern Region, Ghana","Tamale, Ghana",26 - 30,Every few months,MacOS,MacOS,I have little or no influence,Start a free trial;Ask developers I know/work with;,Bachelor,Health_Science,Not at all important/not necessary,Nothing,Slightly satisfied,Below 100,30,Rarely: 1-2 days per year or less,Yes,,"GHS 6,000 - GHS 8,000","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Wanting to work with new technologies;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,DevCongress,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,,Yes,Too long,Easy,
83,2020-10-19T08:54:53Z,2020-10-19T09:11:54Z,1021,I am a student who is learning to code,No,Student,Greater Accra Region,"accra, Ghana",Below 20,Other,Windows,Windows,I have little or no influence,Ask developers I know/work with;,Secondary_High_School,Other_Engineering,Very important,Nothing,Slightly satisfied,Below 10,,Occasionally: 1-2 days per quarter but less than monthly,,,,"I'm not actively looking, but I am open to new opportunities",Wanting to work with new technologies;Wanting to improve your skills;Curious about other opportunities;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;",,,19,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
84,2020-10-19T19:46:10Z,2020-10-19T20:07:35Z,1285,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",20 - 25,This varies depending on work and projects,Windows,Linux-based,,Read ratings or reviews on third party siteslike G2Crowd;,Secondary_High_School,Electrical_Engineering,Somewhat important,Nothing,Very satisfied,1,9,Often: 1-2 days per week,,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Better compensation;Trouble with leadership at my company;Better work/life balance;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,Facebook Developer Circle;DevCongress,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
85,2020-10-19T18:09:32Z,2020-10-19T22:53:37Z,17045,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"Spintex, Ghana",20 - 25,Every few months,Linux-based,MacOS,I have a great deal of influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;,Bachelor,Mathematics_Statistics,Somewhat important,Nothing,Slightly satisfied,Below 10,30,Often: 1-2 days per week,No,more,"GHS 1,500 - GHS 2,000",I am actively looking for a job,Wanting to work with new technologies;Wanting to share accomplishments with a wider network;Curious about other opportunities;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;",No,,22,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,No
86,2020-10-20T05:31:53Z,2020-10-20T05:44:41Z,768,I am a developer by profession,No,Employed part-time,Greater Accra Region,"accra, Ghana",26 - 30,Once every few years,MacOS,MacOS,I have some influence,Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Business,Not at all important/not necessary,I would study Computer Science,Slightly satisfied,Below 20,25,Often: 1-2 days per week,Yes,,"GHS 2,500 - GHS 3,000","I'm not actively looking, but I am open to new opportunities",Better compensation;Better work/life balance;Trouble with leadership at my company;Wanting to improve your skills;Wanting to work with new technologies;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;",Yes,Hacklab Foundation;DevCongress;Facebook Developer Circle,27,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
87,2020-10-20T07:41:15Z,2020-10-20T08:01:32Z,1217,I am a developer by profession,No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",26 - 30,,MacOS,MacOS,I have a great deal of influence,Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Physics,Not at all important/not necessary,Nothing,Very satisfied,Below 10,24,Frequently: 3 or more days per week,No,,"GHS 5,000 - GHS 6,000","I'm not actively looking, but I am open to new opportunities",Better compensation;Curious about other opportunities;Better work/life balance;Wanting to improve your skills;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;",Yes,K.B.O. Dev Support Group;BarcampGhana;Ghana Developers,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,???
88,2020-10-20T08:38:36Z,2020-10-20T08:49:24Z,648,I am a student who is learning to code,Yes,Employed full-time,Ashanti Region,"Kumasi, Ghana",20 - 25,Once a year,Windows,Linux-based,I have little or no influence,Start a free trial;,Bachelor,Computer_Science_Engineering,Very important,learn more independently,Neither satisfied nor dissatisfied,Below 20,45,Occasionally: 1-2 days per quarter but less than monthly,No,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Better work/life balance;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to improve your skills;Wanting to work with new technologies;,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);",No,,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
89,2020-10-20T11:39:36Z,2020-10-20T11:47:56Z,500,I am a developer by profession,No,Employed part-time,Greater Accra Region,"accra, Ghana",20 - 25,Once a year,Windows,Windows,I have a great deal of influence,Start a free trial;,Bachelor,Computer_Science_Engineering,Critically important,,Very satisfied,Below 10,40,Often: 1-2 days per week,Yes,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;",Yes,Andela Learning Community,24,Man,No,Straight / Heterosexual,Black or of African descent,,,No,Appropriate in length,Easy,I look forward to more networking opportunities from HackLab Foundation. Keep up the great work!
90,2020-10-20T11:45:38Z,2020-10-20T12:00:55Z,917,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,MacOS,,I have a great deal of influence,Start a free trial;Ask developers I know/work with;,Bachelor,Information_Technology,Fairly important,,Slightly satisfied,Below 100,45,Frequently: 3 or more days per week,No,,"GHS 2,500 - GHS 3,000",I am not interested in new job oportunities,Better compensation;Wanting to improve your skills;Wanting to work with new technologies;Looking to relocate;,Personal network - friends or family;,Yes,Flutter Ghana;Andela Learning Community;Facebook Developer Circle;DevCongress;Android Community Ghana,26,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
91,2020-10-20T11:46:02Z,2020-10-20T12:04:51Z,1129,I am a student who is learning to code,Yes,"Not employed, but looking for work",Ashanti Region,"Kumasi, Ghana",20 - 25,Every few months,Windows,Linux-based,I have little or no influence,,Bachelor,Computer_Science_Engineering,Fairly important,,,,,,,,,I am actively looking for a job,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);",,,23,Woman,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,,,Easy,
92,2020-10-20T12:05:04Z,2020-10-20T12:13:46Z,522,I am a student who is learning to code,Yes,"Not employed, but looking for work",Greater Accra Region,"Adabraka, Ghana",20 - 25,Every few months,Windows,Linux-based,,Ask developers I know/work with;,,,,,,,,,,,,I am actively looking for a job,Better compensation;Curious about other opportunities;Wanting to share accomplishments with a wider network;Wanting to work with new technologies;Wanting to improve your skills;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;",,,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
93,2020-10-20T12:06:48Z,2020-10-20T12:35:16Z,1708,I code primarily as a hobby,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"tema, Ghana",20 - 25,Every few months,MacOS,MacOS,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Computer_Science_Engineering,Very important,change my school,Neither satisfied nor dissatisfied,Over 500,8,Frequently: 3 or more days per week,Yes,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;Looking to relocate;,"Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;",Yes,GitHub;Stack Overflow;freeCodeCamp;Reddit;Dev.to;Google Developer Group;Hacklab Foundation,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Easy,
94,2020-10-20T12:24:16Z,2020-10-20T12:38:54Z,878,I am a student who is learning to code,Yes,Student,Volta Region,"Ho, Ghana",20 - 25,Every few months,Windows,MacOS,I have little or no influence,Start a free trial;,Secondary_High_School,Computer_Science_Engineering,Critically important,,Slightly dissatisfied,,,,,,,I am actively looking for a job,,,,,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
95,2020-10-20T12:46:54Z,2020-10-20T12:59:53Z,779,I am a student who is learning to code,Yes,Student,Greater Accra Region,"Oyibi, Ghana",20 - 25,Every few months,Windows,Linux-based,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;,Bachelor,Computer_Science_Engineering,Somewhat important,learn programming earlier,Neither satisfied nor dissatisfied,Below 20,40,Sometimes: 1-2 days per month but less than weekly,Yes,,"Less than GHS 1,500",I am actively looking for a job,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,"Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read company media, such as employees blogs or company culture videos;",Yes,Developer Student Club;IoT Network Hub,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,There was no option for no interest in learning/working with a technology
